Nombre;Apellido;NIT;Bomba;TipoDeDespacho;FechaHora;PrecioDia;CantidadDespacho;Total
123;123;434;2;Prepago;29/5/2024 00:11:53;10;10;100
123;123;434;2;Prepago;29/5/2024 00:11:59;10;10;100
123;123;434;2;Prepago;29/5/2024 00:13:04;10;10;100
123;123;434;2;Prepago;29/5/2024 00:13:49;10;10;100
123;123;434;2;Prepago;29/5/2024 00:13:54;10;10;100
123;123;434;2;Prepago;29/5/2024 00:13:56;10;10;100
123;123;434;2;Prepago;29/5/2024 00:14:36;10;10;100
test;test;123123;2;Prepago;29/5/2024 00:15:18;10;10;100
test;test;123123;2;Prepago;29/5/2024 00:16:17;10;10;100
test;test;123123;2;Prepago;29/5/2024 00:20:10;10;10;100
test;test;123123;2;Prepago;29/5/2024 00:20:14;10;10;100
test;test;123123;2;Prepago;29/5/2024 00:20:17;10;10;100
test;test;123123;2;Prepago;29/5/2024 00:21:25;10;10;100
tasd;asdasd;123123;1;Prepago;29/5/2024 00:22:18;10;10;100
tasd;asdasd;123123;1;Prepago;29/5/2024 00:22:22;10;10;100
